fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P09_2	1	287226	173	23097	8.04140293706002	NA
Chi_P09_2	2	322766	141	20221	6.26491018260907	NA
Chi_P09_2	3	341067	177	21858	6.40871148484022	NA
Chi_P09_2	4	327896	135	12689	3.8698245785249	NA
Chi_P09_2	5	263752	140	20900	7.92411052807182	NA
Chi_P09_2	6	323655	172	23321	7.20551204214364	NA
Chi_P09_2	7	283523	121	15190	5.35759003678714	NA
Chi_P09_2	8	301991	161	22266	7.37306740929365	NA
Chi_P09_2	9	304355	122	15140	4.97445417358019	NA
Chi_P09_2	10	281121	105	12876	4.58023413405615	NA
Chi_P09_2	11	265644	147	23571	8.87315354384063	NA
Chi_P09_2	12	303872	85	9579	3.15231413226622	NA
Chi_P09_2	13	324706	180	25313	7.79566746533787	NA
Chi_P09_2	14	288585	170	26792	9.28391981565223	NA
Chi_P09_2	15	352100	166	23398	6.64527122976427	NA
Chi_P09_2	16	335055	144	24196	7.22150094760562	NA
Chi_P09_2	17	319574	176	30675	9.59871579039596	NA
Chi_P09_2	18	345825	180	24359	7.0437359936384	NA
Chi_P09_2	19	268394	93	10363	3.86111462998428	NA
Chi_P09_2	20	282306	101	11663	4.13133266738929	NA
Chi_P09_2	21	312688	120	15590	4.9858005423937	NA
Chi_P09_2	22	320780	105	11991	3.7380759398965	NA
Chi_P09_2	23	322888	152	19233	5.95655459478209	NA
Chi_P09_2	24	322477	138	19826	6.14803536376238	NA
