fichier	leaf	surfaceLeaf	nbLesions	surfaceLesions	pourcent.lesions	nb.lesions
Chi_P10_2	1	298784	128	12030	4.02632001713612	NA
Chi_P10_2	2	346635	153	16524	4.76697390627028	NA
Chi_P10_2	3	321562	112	12085	3.75821769985259	NA
Chi_P10_2	4	361143	145	11077	3.06720606518747	NA
Chi_P10_2	5	342959	156	20984	6.11851562431661	NA
Chi_P10_2	6	316764	163	16269	5.13600030306474	NA
Chi_P10_2	7	339376	180	25432	7.49375324124275	NA
Chi_P10_2	8	370522	189	21894	5.90896087141924	NA
Chi_P10_2	9	400828	233	30308	7.56134800962009	NA
Chi_P10_2	10	305057	125	16172	5.30130434640084	NA
Chi_P10_2	11	253679	119	15460	6.09431604508059	NA
Chi_P10_2	12	355084	103	13918	3.9196359171351	NA
Chi_P10_2	13	333165	150	24220	7.26967118394789	NA
Chi_P10_2	14	350960	125	12009	3.4217574652382	NA
Chi_P10_2	15	352360	202	26196	7.43444204790555	NA
Chi_P10_2	16	317674	96	13767	4.33368799461083	NA
Chi_P10_2	17	418883	221	28452	6.79235013118222	NA
Chi_P10_2	18	354655	163	20566	5.7988749629922	NA
Chi_P10_2	19	260336	100	8330	3.19971114252351	NA
Chi_P10_2	20	343163	155	16283	4.74497541984421	NA
Chi_P10_2	21	376368	145	19762	5.25071206903881	NA
Chi_P10_2	22	304899	120	14744	4.83569969071725	NA
Chi_P10_2	23	345065	161	19210	5.56706707431933	NA
Chi_P10_2	24	357617	155	18222	5.09539535312919	NA
